text,label,attack_type,series,tier,psych_principles,source
"Ref: SEC/2025/0084 — A verified-looking Twitter/X account with 50,000 followers DMs you: 'We are running a social media ambassador programme. We'll pay ₦30,000/week for posting our content. Send your bank details and a selfie with your ID to claim your slot.'",1,Pretexting,Social Media & Digital,Defender,Greed + Social Proof + Identity Harvest,seag_augmented
"[AUTOMATED MESSAGE] You receive an email from 'security@uba-alert.com' addressed to General Publics: 'Your UBA account has been restricted after a ₦120,000 transfer attempt to an account in Ibadan was flagged. Verify identity at uba-secure-ng.com within 36 hours to restore access.'",1,Phishing,Banking & Finance,Defender,Fear + False Legitimacy,seag_augmented
You encounter a USB charging port at a public charging station labelled 'FREE PHONE CHARGING STATION' in a charging station in a public space. Failure to comply will result in restrictions.,1,Baiting,Social Media & Digital,Sentinel,False Convenience + Physical Trust,seag_augmented
"SMS from 'MTN-NG-REWARD': 'You have won ₦500,000 in the MTN Customer Loyalty Draw. Your PIN is ACTIVATED. Do not ignore this message.",1,Smishing,Banking & Finance,Novice,Greed + Urgency + False Legitimacy,seag_augmented
"Ref: SEC/2025/0084 — Email from 'support@MTN-business.com': 'Your MTN postpaid corporate account bill of ₦250,000 is overdue. Pay now at mtn-billings.com or your lines will be barred.'",1,Phishing,Telecom & Mobile,Sentinel,Fear of Service Disruption,seag_augmented
"[AUTOMATED MESSAGE] SMS: 'Glo: Dear subscriber, your line is scheduled for deactivation due to inactivity. To reactivate, topup ₦500 using recharge card and send card pin to 0810-xxx-xxxx to confirm your line is active.'",1,Smishing,Telecom & Mobile,Defender,False Urgency + Small Amount Targeting,seag_augmented
"Dear student, your course registration for 2024/2025 First Semester has been completed. Your student ID is 200302154. Portal: abu.edu.ng",0,None,Education,Legit,,template_legit
"SMS: 'UBA: Your account ending **7136 has received a ₦15000 credit from an unknown sender. If you did not authorise this, click to dispute: uba-dispute.com/ref441750'",1,Smishing,Banking & Finance,Sentinel,Greed + False Urgency,seag_csv
"SMS: 'Airtel: Port your number to our new network architecture. To complete the migration, reply with your 6-digit porting PIN and NIN. Migration is free — valid for 24 hours only.'",1,Smishing,Telecom & Mobile,Defender,SIM Swap + OTP Theft,seag_csv
"A verified-looking Twitter/X account with 50,000 followers DMs you: 'We are running a social media ambassador programme. We'll pay ₦30,000/week for posting our content. Send your bank details and a selfie with your ID to claim your slot.'",1,Pretexting,Social Media & Digital,Defender,Greed + Social Proof + Identity Harvest,seag_csv
University of Lagos: Your acceptance letter for Computer Science is ready. Visit the admissions office with your JAMB score of 287 and two passport photos.,0,None,Education,Legit,,template_legit
"SMS: 'GTBank ALERT: Your account has been debited ₦25,000. If you did not authorise this transaction, click to reverse: gtbank-reversal-ng.com/reverse?ref=8821. Click the link below to act now.",1,Smishing,Banking & Finance,Novice,Fear + Urgency + False Legitimacy,seag_augmented
MTN: Your NIN is not linked to your SIM. Your line will be barred after 22 June 2025 per NCC directive. Dial *785# FREE to link. MTN will NEVER ask for your password via SMS.,0,None,HardNegative_Telecom,Legit,,template_legit
UBA: We've detected unusual activity on your account. Log in to the UBA Mobile App to review. Do NOT click any links sent to you — we never send login links via SMS.,0,None,HardNegative_Banking,Legit,,template_legit
"Kuda: Transaction alert — ₦15,000 sent to John Adeyemi at 3 August 2025. Not you? Freeze your card instantly in the Kuda app under Card Controls. Call 0700-000-5832.",0,None,HardNegative_Banking,Legit,,template_legit
FIRS: Your TIN 12345678-0001 has been updated in our system. No further action required. Portal: taxpromax.firs.gov.ng,0,None,Government,Legit,,template_legit
IMPORTANT NOTICE: FINAL NOTICE: Your Stanbic IBTC account will be closed in 12 hours due to incomplete KYC. Update records at stanbicibtc-kyc-ng.com.,1,Phishing,Banking & Finance,Sentinel,Regulatory Fear + Urgency,seag_augmented
"Dear Valued Customer, You receive an email from 'security@zenithbank-alert.com' addressed to Healthcare Workers: 'Your Zenith Bank account has been restricted after a ₦85,000 transfer attempt to an account in Port Harcourt was flagged. Verify identity at zenithbank-secure-ng.com within 36 hours to restore access.'",1,Phishing,Banking & Finance,Defender,Fear + False Legitimacy,seag_augmented
SECURITY ALERT: SMS: 'LASG Ministry of Health: All healthcare workers must complete the 2025 mandatory training at lagoshealthtraining.com within 7 days to maintain your practising status.',1,Smishing,Healthcare & Medical,Novice,Professional Compliance + Credential Harvest,seag_augmented
"First Bank ALERT: Your BVN has been successfully linked. No further action required. If you did not authorise this, visit firstbanknigeria.com or call 0700-34357-282.",0,None,HardNegative_Banking,Legit,,template_legit
"IMPORTANT NOTICE: SMS: 'Access Bank: Your account ending **1624 has received a ₦75000 credit from an unknown sender. If you did not authorise this, click to dispute: accessbank-dispute.com/ref554494'",1,Smishing,Banking & Finance,Sentinel,Greed + False Urgency,seag_augmented
"Someone posing as a delivering a package requiring payment (Delivery company) contacts you and asks for your debit card details over the phone to 'process a ₦1,500 customs clearance fee' before delivery.",1,Pretexting,E-commerce & Shopping,Defender,False Convenience + Small Amount Trust,seag_csv
IT Department: Your VPN certificate expires in 7 days. Log in to the company portal to renew. Contact helpdesk@company.ng for assistance.,0,None,Work,Legit,,template_legit
"SMS: 'FIRS TAX ALERT: Your TIN TIN-20645142 has outstanding tax liabilities of ₦₦2,000,000. Pay immediately at firs-tax-payment.com to avoid prosecution and asset seizure.' Failure to comply will result in restrictions.",1,Smishing,Banking & Finance,Novice,Fear of Legal Prosecution + Authority,seag_augmented
"NYSC: Dear Corps Member, your CDS attendance for June has been recorded. Next CDS is 3 August 2025 at your designated PPA.",0,None,Government,Legit,,template_legit
You find a USB drive in the bank ATM lobby. It is labelled 'STAFF SALARY SCHEDULE 2025 — HR CONFIDENTIAL'. Click the link below to act now.,1,Baiting,Physical Security,Sentinel,Self-Interest + Curiosity + Physical Attack Vector,seag_augmented
"Ref: SEC/2025/0084 — SMS from 'Glo-NG-REWARD': 'You have won ₦1,200,000 in the Glo Customer Loyalty Draw. Your PIN is ACTIVATED. Claim at glo-loyalty-claim.com within 60 minutes before expiry. Reference: 73522'.",1,Smishing,Banking & Finance,Sentinel,Greed + Urgency + False Legitimacy,seag_augmented
"MTN: Your 15,000MB data bundle is active and expires Thursday 24 July. Dial *131# to check balance or buy more data.",0,None,Telecom,Legit,,template_legit
JAMB: Your 2025 UTME result is available. Login at jamb.gov.ng with your registration number. Result checking is FREE — do not pay any agent. Dial 09-0900-8100 for help.,0,None,HardNegative_Govt,Legit,,template_legit
"Someone posing as a delivering a package requiring payment (Delivery company) contacts you and asks for your debit card details over the phone to 'process a ₦1,500 customs clearance fee' before delivery.",1,Pretexting,E-commerce & Shopping,Novice,False Convenience + Small Amount Trust,seag_csv
"Call: 'This is Airtel VIP customer retention team. Due to your loyal patronage, you've been upgraded to our Premium Plan with 50GB data free. Click the link below to act now.",1,Vishing,Telecom & Mobile,Defender,Flattery + Self-Care Credential,seag_augmented
"NYSC: Dear Corps Member, your CDS attendance for August has been recorded. Next meeting is 3 August 2025. Log in to portal.nysc.org.ng for your PPA details.",0,None,HardNegative_Govt,Legit,,template_legit
"OPay: Security alert — your OPay account was accessed from a new device on 22 June 2025. If this was not you, change your PIN in the app immediately. Ref: ZB0847291.",0,None,HardNegative_Banking,Legit,,template_legit
University of Lagos: Your acceptance letter for Engineering is ready. Visit the admissions office with your JAMB score of 287 and two passport photos.,0,None,Education,Legit,,template_legit
"UBA: Your salary of ₦15,000 has been credited to your account ending 7743. Log in to UBA Mobile App to manage your finances.",0,None,Banking,Legit,,template_legit
JAMB: Your 2025 UTME result is available. Login at jamb.gov.ng with your registration number. Result checking is FREE — do not pay any agent. Dial 09-0900-8100 for help.,0,None,HardNegative_Govt,Legit,,template_legit
"SMS: 'Glo: Port your number to our new network architecture. To complete the migration, reply with your 6-digit porting PIN and NIN. Migration is free — valid for 24 hours only.'",1,Smishing,Telecom & Mobile,Defender,SIM Swap + OTP Theft,seag_csv
"Dear Valued Customer, SMS: 'Sterling Bank: Your account ending **5443 has received a ₦75000 credit from an unknown sender. If you did not authorise this, click to dispute: sterlingbank-dispute.com/ref995874'",1,Smishing,Banking & Finance,Defender,Greed + False Urgency,seag_augmented
"Paystack: Payment of ₦15,000 received from Shoprite Ikeja. Reference: PAY-2025-0034521. Contact support@paystack.com if you did not initiate this.",0,None,Ecommerce,Legit,,template_legit
"Kuda Bank: Your transfer of ₦250,000 to John Adeyemi (First Bank) was successful. Transaction ID: PAY-2025-0034521.",0,None,Banking,Legit,,template_legit
"SMS from 'GloALERTS': 'Your line 0905475510 has been selected for a network upgrade. To avoid service disruption, verify your SIM details at glo-sim-verify.com within 2 hours.' Do not ignore this message.",1,Smishing,Banking & Finance,Defender,Technical Credibility + SIM Swap Risk,seag_augmented
"SMS: 'MDCN: Your CME (Continuing Medical Education) points are insufficient for licence renewal. Purchase additional CME credits at mdcn-cme-portal.com for ₦12,000 before Thursday.' Reply STOP to opt out or proceed now.",1,Smishing,Healthcare & Medical,Sentinel,Licence Renewal Fear,seag_augmented
"Kuda: Transaction alert — ₦250,000 sent to John Adeyemi at 3 August 2025. Not you? Freeze your card instantly in the Kuda app under Card Controls. Call 0700-000-5832.",0,None,HardNegative_Banking,Legit,,template_legit
You find a USB drive in the hospital staff room. It is labelled 'PATIENT MEDICATION ERROR REPORT — INTERNAL AUDIT'. Do not ignore this message.,1,Baiting,Physical Security,Novice,Professional Duty + Curiosity + Physical Attack Vector,seag_augmented
"Call: 'This is Glo VIP customer retention team. Due to your loyal patronage, you've been upgraded to our Premium Plan with 50GB data free. I just need to verify your account — what is the 4-digit PIN you use for Glo self-care?'",1,Vishing,Telecom & Mobile,Sentinel,Flattery + Self-Care Credential,seag_csv
A 'medical equipment technician' arrives: 'I'm here for the annual calibration of your ward's patient monitoring equipment. My work order was sent to your biomedical department but they forgot to inform the ward. Click the link below to act now.,1,Pretexting,Healthcare & Medical,Defender,False Routine + Patient Safety Risk,seag_augmented
"You receive a Twitter/X DM from an account with 12,000 followers: 'I'm a cybersecurity researcher. I found a critical RCE vulnerability on your company's login page. To share the full report responsibly, I need you to whitelist my IP and create a test account: researcher@protonmail.com. I'll share the report once I have access.'",1,Pretexting,Social Media & Digital,Defender,False Professional Authority + Reciprocity,seag_csv
"OPay: You have sent ₦120,000 to 09034567890. Your new balance is ₦87,320.50. If not you, call 01-8880000 immediately.",0,None,Banking,Legit,,template_legit
URGENT: Your Access Bank account has been suspended due to a failed BVN match. Re-verify at accessbank-bvn-match.com within 48 hours. Reply STOP to opt out or proceed now.,1,Phishing,Banking & Finance,Defender,Fear + False Authority,seag_augmented
Hi! Just wanted to say the meeting went well. Let's catch up tomorrow to discuss the next steps. Let me know if you're free after 3pm.,0,None,Social,Legit,,template_legit
"PiggyVest: Your savings of ₦250,000 has been locked in your Safelock. Target: Thursday 24 July. Keep saving! 🐷",0,None,Banking,Legit,,template_legit
CBN: NIN-BVN linkage is required for all bank accounts. Visit your bank branch or use your bank's official USSD code. This service is completely FREE of charge.,0,None,HardNegative_Govt,Legit,,template_legit
"Email from 'support@Glo-business.com': 'Your Glo postpaid corporate account bill of ₦250,000 is overdue. Pay now at glo-billings.com or your lines will be barred.' Failure to comply will result in restrictions.",1,Phishing,Telecom & Mobile,Novice,Fear of Service Disruption,seag_augmented
"[AUTOMATED MESSAGE] You receive an email from 'security@polarisbank-alert.com' addressed to IT Professionals: 'Your Polaris Bank account has been restricted after a ₦1,200,000 transfer attempt to an account in Lagos was flagged. Verify identity at polarisbank-secure-ng.com within 48 hours to restore access.'",1,Phishing,Banking & Finance,Sentinel,Fear + False Legitimacy,seag_augmented
"Your NHIS claims portal shows a pending reimbursement of ₦15,000. To receive payment, verify your account at nhis-reimbursement.com within 48 hours.",1,Phishing,Healthcare & Medical,Novice,Fear of Missing Reimbursement,seag_csv
Your Ecobank debit card has been blocked after 3 failed PIN attempts from Port Harcourt. Unblock at ecobank-card-unblock.ng. Click the link below to act now.,1,Phishing,Banking & Finance,Defender,Urgency + Fear,seag_augmented
"Zenith Bank: Suspicious login attempt on your account at Thursday 24 July. If not you, secure your account via the Zenith Mobile App NOW. Do NOT share your OTP with anyone.",0,None,HardNegative_Banking,Legit,,template_legit
"You receive an email from 'security@fcmb-alert.com' addressed to IT Professionals: 'Your FCMB account has been restricted after a ₦500,000 transfer attempt to an account in Owerri was flagged. Verify identity at fcmb-secure-ng.com within 48 hours to restore access.' Reply STOP to opt out or proceed now.",1,Phishing,Banking & Finance,Sentinel,Fear + False Legitimacy,seag_augmented
"MTN: Your 45,000MB data bundle is active and expires 22 June 2025. Dial *131# to check balance or buy more data.",0,None,Telecom,Legit,,template_legit
"SMS: 'MDCN: Your CME (Continuing Medical Education) points are insufficient for licence renewal. Purchase additional CME credits at mdcn-cme-portal.com for ₦12,000 before Thursday.'",1,Smishing,Healthcare & Medical,Novice,Licence Renewal Fear,seag_csv
"Access Bank: Transaction Alert. Debit of ₦250,000 from your account ending 7743 at Shoprite Ikeja on 15 July 2025. Balance: ₦87,320.50. Not you? Call 01-2802500.",0,None,Banking,Legit,,template_legit
Glo: Your number 09034567890 has been successfully ported. Your new SIM will be active within 24 hours. Thank you for choosing Glo.,0,None,Telecom,Legit,,template_legit
"Through Instagram DM, someone claiming to be from a verified travel influencer contacts you and says is offering free all-expense-paid trips to Dubai for selected followers. You just need to provide your passport number and bank details for visa processing Reply STOP to opt out or proceed now.",1,Pretexting,Corporate & Professional,Defender,Greed + Celebrity Authority + Pretexting,seag_augmented
"Call: 'I'm from the Pharmacy Council of Nigeria. Your pharmacist registration shows an outstanding annual renewal fee of ₦18,000. If unpaid before our batch deadline today, your registration is automatically suspended. Pay to account number 0265155001 now.'",1,Vishing,Healthcare & Medical,Defender,Professional Licence Fear,seag_csv
"PiggyVest: Your savings of ₦8,750 has been locked in your Safelock. Target: Thursday 24 July. Keep saving! 🐷",0,None,Banking,Legit,,template_legit
Ref: SEC/2025/0084 — You find a SD card in the bank ATM lobby. It is labelled 'STAFF SALARY SCHEDULE 2025 — HR CONFIDENTIAL'. No one around claims to own it.,1,Baiting,Physical Security,Sentinel,Self-Interest + Curiosity + Physical Attack Vector,seag_augmented
"ACCESS BANK: Your account was credited ₦3,500 on 15 July 2025. If you did not initiate this transfer, call 01-2802500 immediately. We will NEVER ask for your PIN or OTP.",0,None,HardNegative_Banking,Legit,,template_legit
Someone posing as a via student WhatsApp group (University course lecturer) contacts you and asks students to send their student ID and portal login credentials to a personal email address for 'grading system migration purposes'.,1,Pretexting,Education & Academia,Novice,Academic Compliance + Authority,seag_csv
[AUTOMATED MESSAGE] Your Wema Bank debit card has been blocked after 5 failed PIN attempts from Jos. Unblock at wemabank-card-unblock.ng.,1,Phishing,Banking & Finance,Novice,Urgency + Fear,seag_augmented
"Airtel: Your recharge of ₦120,000 was successful. Your bonus 2,048MB data is now active. Valid for 14 days.",0,None,Telecom,Legit,,template_legit
SECURITY ALERT: SMS: 'NAFDAC WARNING: A batch of medication you may have purchased (Chloroquine 150mg) has been recalled due to contamination. Report your purchase at nafdac-recall.com for a refund and medical advice.',1,Smishing,Banking & Finance,Defender,Health Fear + Civic Duty,seag_augmented
"UBA: Your salary of ₦8,750 has been credited to your account ending 0017. Log in to UBA Mobile App to manage your finances.",0,None,Banking,Legit,,template_legit
"Email from 'support@MTN-business.com': 'Your MTN postpaid corporate account bill of ₦250,000 is overdue. Pay now at mtn-billings.com or your lines will be barred.' Failure to comply will result in restrictions.",1,Phishing,Telecom & Mobile,Sentinel,Fear of Service Disruption,seag_augmented
"Email from 'support@MTN-business.com': 'Your MTN postpaid corporate account bill of ₦100,000 is overdue. Pay now at mtn-billings.com or your lines will be barred.'",1,Phishing,Telecom & Mobile,Novice,Fear of Service Disruption,seag_csv
Ref: SEC/2025/0084 — You find a SD card in the government ministry reception. It is labelled 'MINISTER BRIEFING NOTES — STRICTLY CONFIDENTIAL'. No one around claims to own it.,1,Baiting,Physical Security,Defender,Career Interest + Curiosity + Physical Attack Vector,seag_augmented
JAMB: Your UTME result slip is available. Log in to jamb.gov.ng with your registration number 97283421AA to download. Results are free.,0,None,Government,Legit,,template_legit
"Call: 'This is Airtel VIP customer retention team. Due to your loyal patronage, you've been upgraded to our Premium Plan with 50GB data free. I just need to verify your account — what is the 4-digit PIN you use for Airtel self-care?'",1,Vishing,Telecom & Mobile,Novice,Flattery + Self-Care Credential,seag_csv
Call: 'I'm a buyer who saw your item on Jiji. I want to pay via PalmPay transfer but my bank requires I call you to confirm your full account details including your PalmPay PIN for the inbound transfer to work correctly.',1,Vishing,E-commerce & Shopping,Defender,Marketplace Trust + Technical Misdirection,seag_csv
"OPay: You have sent ₦15,000 to 09034567890. Your new balance is ₦12,445.00. If not you, call 01-8880000 immediately.",0,None,Banking,Legit,,template_legit
"Through Instagram DM, someone claiming to be from a verified travel influencer contacts you and says is offering free all-expense-paid trips to Dubai for selected followers. You just need to provide your passport number and bank details for visa processing",1,Pretexting,Corporate & Professional,Novice,Greed + Celebrity Authority + Pretexting,seag_csv
"Ref: SEC/2025/0084 — You encounter a popup advertisement on a shopping website labelled 'CLICK HERE — YOU ARE TODAY'S LUCKY VISITOR! CLAIM ₦50,000 GIFT CARD' in a e-commerce website.",1,Baiting,E-commerce & Shopping,Defender,Greed + Browser-Based Social Engineering,seag_augmented
University of Lagos: Your acceptance letter for Engineering is ready. Visit the admissions office with your JAMB score of 301 and two passport photos.,0,None,Education,Legit,,template_legit
"You receive an email from 'security@zenithbank-alert.com' addressed to IT Professionals: 'Your Zenith Bank account has been restricted after a ₦2,500,000 transfer attempt to an account in Lagos was flagged. Verify identity at zenithbank-secure-ng.com within 36 hours to restore access.' Reply STOP to opt out or proceed now.",1,Phishing,Banking & Finance,Defender,Fear + False Legitimacy,seag_augmented
"IMPORTANT NOTICE: SMS: 'FIRS TAX ALERT: Your TIN TIN-47976949 has outstanding tax liabilities of ₦₦150,000. Pay immediately at firs-tax-payment.com to avoid prosecution and asset seizure.'",1,Smishing,Banking & Finance,Novice,Fear of Legal Prosecution + Authority,seag_augmented
MTN: Your NIN is not linked to your SIM. Your line will be barred after Thursday 24 July per NCC directive. Dial *785# FREE to link. MTN will NEVER ask for your password via SMS.,0,None,HardNegative_Telecom,Legit,,template_legit
First Bank: Your BVN linkage has been completed successfully. No further action required. Contact 0700-34357-282 with questions.,0,None,Banking,Legit,,template_legit
"SMS from '9mobile-NG-REWARD': 'You have won ₦1,200,000 in the 9mobile Customer Loyalty Draw. Your PIN is ACTIVATED. Failure to comply will result in restrictions.",1,Smishing,Banking & Finance,Sentinel,Greed + Urgency + False Legitimacy,seag_augmented
MTN: Your NIN is not linked to your SIM. Your line will be barred after 15 July 2025 per NCC directive. Dial *785# FREE to link. MTN will NEVER ask for your password via SMS.,0,None,HardNegative_Telecom,Legit,,template_legit
You find a SD card in the hospital staff room. It is labelled 'PATIENT MEDICATION ERROR REPORT — INTERNAL AUDIT'. Reply STOP to opt out or proceed now.,1,Baiting,Physical Security,Sentinel,Professional Duty + Curiosity + Physical Attack Vector,seag_augmented
Your FCMB debit card has been blocked after 3 failed PIN attempts from Kano. Unblock at fcmb-card-unblock.ng.,1,Phishing,Banking & Finance,Sentinel,Urgency + Fear,seag_csv
Your Zenith Bank debit card has been blocked after 7 failed PIN attempts from Asaba. Unblock at zenithbank-card-unblock.ng. Failure to comply will result in restrictions.,1,Phishing,Banking & Finance,Sentinel,Urgency + Fear,seag_augmented
CBN: NIN-BVN linkage is required for all bank accounts. Visit your bank branch or use your bank's official USSD code. This service is completely FREE of charge.,0,None,HardNegative_Govt,Legit,,template_legit
FINAL NOTICE: Your Polaris Bank account will be closed in 24 hours due to incomplete KYC. Update records at polarisbank-kyc-ng.com. Click the link below to act now.,1,Phishing,Banking & Finance,Defender,Regulatory Fear + Urgency,seag_augmented
"Airtel: Your recharge of ₦45,000 was successful. Your bonus 1,024MB data is now active. Valid for 7 days.",0,None,Telecom,Legit,,template_legit
"OPay: You have sent ₦45,000 to 08012345678. Your new balance is ₦12,445.00. If not you, call 01-8880000 immediately.",0,None,Banking,Legit,,template_legit
"You encounter a popup advertisement on a shopping website labelled 'CLICK HERE — YOU ARE TODAY'S LUCKY VISITOR! CLAIM ₦50,000 GIFT CARD' in a e-commerce website. Do not ignore this message.",1,Baiting,E-commerce & Shopping,Sentinel,Greed + Browser-Based Social Engineering,seag_augmented
"Airtel: Your recharge of ₦8,750 was successful. Your bonus 200MB data is now active. Valid for 3 days.",0,None,Telecom,Legit,,template_legit
"Your GTBank account ending 0017 has been credited with ₦45,000 on 22 June 2025. Your available balance is ₦55,890.75. If you did not initiate this, call 0700-482-6726.",0,None,Banking,Legit,,template_legit
A call from someone claiming to be 'Officer Omotola from NCC (Nigeria Communications Commission)': 'your phone line has been used to transmit illegal content. It will be permanently blocked within 30 minutes unless you confirm your identity and cooperate with our investigation. Failure to comply will result in restrictions.,1,Vishing,Government & Identity,Defender,Telecom Loss Fear + Authority Impersonation,seag_augmented
[AUTOMATED MESSAGE] You find a SD card in the university lecture theatre. It is labelled 'EXAM QUESTIONS — FINAL YEAR — 2025 SESSION'. No one around claims to own it.,1,Baiting,Physical Security,Defender,Academic Desperation + Curiosity + Physical Attack Vector,seag_augmented
NIMC: Your NIN enrolment is complete. Your NIN is XXXX-XXXX-3345. Store this safely. NIMC will NEVER ask for payment via SMS to retrieve your NIN.,0,None,HardNegative_Govt,Legit,,template_legit
"Email from 'orders@jumia-delivery-ng.com': 'Your Jumia order for HP Laptop 15 is ready for pickup. Pay outstanding logistics fee of ₦40,000 at jumia-logistics-payment.com to release your package.'",1,Phishing,E-commerce & Shopping,Sentinel,False Delivery Urgency,seag_csv
Glo: Your number 07098765432 has been successfully ported. Your new SIM will be active within 24 hours. Thank you for choosing Glo.,0,None,Telecom,Legit,,template_legit
"SMS: 'Airtel: Port your number to our new network architecture. To complete the migration, reply with your 6-digit porting PIN and NIN. Reply STOP to opt out or proceed now.",1,Smishing,Telecom & Mobile,Defender,SIM Swap + OTP Theft,seag_augmented
"WhatsApp: 'Congratulations! Your TikTok video has 1 million views milestone. Claim your ₦150,000 TikTok Creator Fund payment by verifying at tiktok-creators-ng.com with your TikTok login.'",1,Smishing,Social Media & Digital,Novice,Creator Aspiration + False Milestone,seag_csv
"WAEC: Your WASSCE result for 2023 is available. Log in to waecdirect.org with your exam number. PIN-based result checking is ₦2,500.",0,None,Education,Legit,,template_legit
"You receive an email from 'security@polarisbank-alert.com' addressed to Healthcare Workers: 'Your Polaris Bank account has been restricted after a ₦85,000 transfer attempt to an account in Port Harcourt was flagged. Verify identity at polarisbank-secure-ng.com within 36 hours to restore access.' Click the link below to act now.",1,Phishing,Banking & Finance,Defender,Fear + False Legitimacy,seag_augmented
FIRS: Your TIN 12345678-0001 has been updated in our system. No further action required. Portal: taxpromax.firs.gov.ng,0,None,Government,Legit,,template_legit
"A call from someone claiming to be 'Officer Emeka from NIS (Nigeria Immigration Service)': 'your international travel history shows a discrepancy that could result in passport confiscation. To resolve this before enforcement action, confirm your passport number and NIN. Reply STOP to opt out or proceed now.",1,Vishing,Government & Identity,Sentinel,Travel Restriction Fear + Authority Impersonation,seag_augmented
"OPay: Security alert — your OPay account was accessed from a new device on 15 July 2025. If this was not you, change your PIN in the app immediately. Ref: ZB0847291.",0,None,HardNegative_Banking,Legit,,template_legit
"9mobile: Your monthly ₦45,000 data plan renews on 3 August 2025. You have 45,000MB remaining. To cancel auto-renewal, dial *244*0#.",0,None,Telecom,Legit,,template_legit
MTN: Your NIN is not linked to your SIM. Your line will be barred after Thursday 24 July per NCC directive. Dial *785# FREE to link. MTN will NEVER ask for your password via SMS.,0,None,HardNegative_Telecom,Legit,,template_legit
"You receive an email from 'security@accessbank-alert.com' addressed to General Publics: 'Your Access Bank account has been restricted after a ₦200,000 transfer attempt to an account in Ibadan was flagged. Verify identity at accessbank-secure-ng.com within 48 hours to restore access.'",1,Phishing,Banking & Finance,Sentinel,Fear + False Legitimacy,seag_csv
"Your GTBank account ending 7743 has been credited with ₦45,000 on 15 July 2025. Your available balance is ₦302,000.00. If you did not initiate this, call 0700-482-6726.",0,None,Banking,Legit,,template_legit
"Zenith Bank: Suspicious login attempt on your account at Thursday 24 July. If not you, secure your account via the Zenith Mobile App NOW. Do NOT share your OTP with anyone.",0,None,HardNegative_Banking,Legit,,template_legit
"Airtel: Your recharge of ₦250,000 was successful. Your bonus 1,024MB data is now active. Valid for 3 days.",0,None,Telecom,Legit,,template_legit
"NYSC: Dear Corps Member, your CDS attendance for June has been recorded. Next CDS is 3 August 2025 at your designated PPA.",0,None,Government,Legit,,template_legit
"GTBank ALERT: Debit of ₦120,000 on your account ending 4521 at GTBank ATM Lekki on 22 June 2025. Balance: ₦302,000.00. Not you? Call 0700-482-6726 — the number on the back of your card.",0,None,HardNegative_Banking,Legit,,template_legit
"Konga: Payment confirmed for order #KG-881234 (₦250,000). Your item ships within 2 business days. Thank you for shopping with Konga.",0,None,Ecommerce,Legit,,template_legit
"WAEC: Your WASSCE result for 2024 is available. Log in to waecdirect.org with your exam number. PIN-based result checking is ₦2,500.",0,None,Education,Legit,,template_legit
"Zenith Bank: Suspicious login attempt on your account at 15 July 2025. If not you, secure your account via the Zenith Mobile App NOW. Do NOT share your OTP with anyone.",0,None,HardNegative_Banking,Legit,,template_legit
"SMS from 'Glo-NG-REWARD': 'You have won ₦2,500,000 in the Glo Customer Loyalty Draw. Your PIN is ACTIVATED. Claim at glo-loyalty-claim.com within 60 minutes before expiry. Reference: 40143'.",1,Smishing,Banking & Finance,Defender,Greed + Urgency + False Legitimacy,seag_csv
"SECURITY ALERT: Email from 'support@Glo-business.com': 'Your Glo postpaid corporate account bill of ₦250,000 is overdue. Pay now at glo-billings.com or your lines will be barred.'",1,Phishing,Telecom & Mobile,Novice,Fear of Service Disruption,seag_augmented
"MTN: Your 15,000MB data bundle is active and expires 15 July 2025. Dial *131# to check balance or buy more data.",0,None,Telecom,Legit,,template_legit
"A call: 'Good day, I am Officer Wale from the NDLEA. a package sent to your address has tested positive for narcotics. Failure to comply will result in restrictions.",1,Vishing,Government & Identity,Novice,Fear + Fear of Criminal Charges + Authority Impersonation,seag_augmented
"A call: 'Good day, I am Officer Wale from the FIRS. your tax records show outstanding liabilities. Failure to comply will result in restrictions.",1,Vishing,Government & Identity,Sentinel,Fear + Fear of Legal Prosecution + Authority Impersonation,seag_augmented
"A printed poster in the hospital staff room: 'BONUS: Staff who complete this quick patient satisfaction survey get a ₦5,000 airtime reward. Scan the QR code to participate — for hospital staff only.'",1,Baiting,Healthcare & Medical,Novice,Greed + Physical Environment Trust,seag_csv
URGENT: Your Access Bank account has been suspended due to a failed BVN match. Re-verify at accessbank-bvn-match.com within 48 hours. Reply STOP to opt out or proceed now.,1,Phishing,Banking & Finance,Defender,Fear + False Authority,seag_augmented
"You receive an email from 'security@polarisbank-alert.com' addressed to IT Professionals: 'Your Polaris Bank account has been restricted after a ₦2,500,000 transfer attempt to an account in Abuja was flagged. Verify identity at polarisbank-secure-ng.com within 36 hours to restore access.'",1,Phishing,Banking & Finance,Defender,Fear + False Legitimacy,seag_csv
"PiggyVest: Your savings of ₦250,000 has been locked in your Safelock. Target: 22 June 2025. Keep saving! 🐷",0,None,Banking,Legit,,template_legit
University of Lagos: Your acceptance letter for Law is ready. Visit the admissions office with your JAMB score of 254 and two passport photos.,0,None,Education,Legit,,template_legit
"A call from someone claiming to be 'Officer Chidi from NDIC (Nigeria Deposit Insurance Corporation)': 'your bank is under emergency liquidation review and your deposits may be at risk. To pre-register for deposit insurance payout, provide your account details and NIN now. Reply STOP to opt out or proceed now.",1,Vishing,Government & Identity,Sentinel,Financial Loss Fear + Authority Impersonation,seag_augmented
