ID,Series,Tier,Occupation,Type,Level,Scenario,OptionA,OptionB,OptionC,CorrectAnswer,Hint,Explanation,PsychPrinciple
142,Banking & Finance,Defender,Government Employee,Phishing,2,"You receive an email from 'security@accessbank-alert.com' addressed to Government Employees: 'Your Access Bank account has been restricted after a ₦2,500,000 transfer attempt to an account in Owerri was flagged. Verify identity at accessbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Access Bank app directly to check for any restrictions,Call Access Bank customer care using the number on the back of your card,Log into your Access Bank app directly to check for any restrictions,'accessbank-alert.com' and 'accessbank-secure-ng.com' are NOT Access Bank's official domains. Access Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Access Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Access Bank app is always the correct first check.,Fear + False Legitimacy
143,Banking & Finance,Defender,Government Employee,Phishing,2,"You receive an email from 'security@firstbank-alert.com' addressed to Government Employees: 'Your First Bank account has been restricted after a ₦350,000 transfer attempt to an account in Owerri was flagged. Verify identity at firstbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your First Bank app directly to check for any restrictions,Call First Bank customer care using the number on the back of your card,Log into your First Bank app directly to check for any restrictions,'firstbank-alert.com' and 'firstbank-secure-ng.com' are NOT First Bank's official domains. First Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs First Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your First Bank app is always the correct first check.,Fear + False Legitimacy
144,Banking & Finance,Defender,Government Employee,Phishing,2,"You receive an email from 'security@uba-alert.com' addressed to Government Employees: 'Your UBA account has been restricted after a ₦350,000 transfer attempt to an account in Owerri was flagged. Verify identity at uba-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your UBA app directly to check for any restrictions,Call UBA customer care using the number on the back of your card,Log into your UBA app directly to check for any restrictions,'uba-alert.com' and 'uba-secure-ng.com' are NOT UBA's official domains. UBA's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs UBA using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your UBA app is always the correct first check.,Fear + False Legitimacy
145,Banking & Finance,Defender,Government Employee,Phishing,2,"You receive an email from 'security@zenithbank-alert.com' addressed to Government Employees: 'Your Zenith Bank account has been restricted after a ₦2,500,000 transfer attempt to an account in Port Harcourt was flagged. Verify identity at zenithbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Zenith Bank app directly to check for any restrictions,Call Zenith Bank customer care using the number on the back of your card,Log into your Zenith Bank app directly to check for any restrictions,'zenithbank-alert.com' and 'zenithbank-secure-ng.com' are NOT Zenith Bank's official domains. Zenith Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Zenith Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Zenith Bank app is always the correct first check.,Fear + False Legitimacy
146,Banking & Finance,Defender,Government Employee,Phishing,2,"You receive an email from 'security@stanbicibtc-alert.com' addressed to Government Employees: 'Your Stanbic IBTC account has been restricted after a ₦350,000 transfer attempt to an account in Kaduna was flagged. Verify identity at stanbicibtc-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Stanbic IBTC app directly to check for any restrictions,Call Stanbic IBTC customer care using the number on the back of your card,Log into your Stanbic IBTC app directly to check for any restrictions,'stanbicibtc-alert.com' and 'stanbicibtc-secure-ng.com' are NOT Stanbic IBTC's official domains. Stanbic IBTC's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Stanbic IBTC using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Stanbic IBTC app is always the correct first check.,Fear + False Legitimacy
147,Banking & Finance,Defender,Government Employee,Phishing,2,"You receive an email from 'security@fcmb-alert.com' addressed to Government Employees: 'Your FCMB account has been restricted after a ₦85,000 transfer attempt to an account in Kaduna was flagged. Verify identity at fcmb-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your FCMB app directly to check for any restrictions,Call FCMB customer care using the number on the back of your card,Log into your FCMB app directly to check for any restrictions,'fcmb-alert.com' and 'fcmb-secure-ng.com' are NOT FCMB's official domains. FCMB's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs FCMB using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your FCMB app is always the correct first check.,Fear + False Legitimacy
148,Banking & Finance,Defender,Government Employee,Phishing,2,"You receive an email from 'security@polarisbank-alert.com' addressed to Government Employees: 'Your Polaris Bank account has been restricted after a ₦1,200,000 transfer attempt to an account in Owerri was flagged. Verify identity at polarisbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Polaris Bank app directly to check for any restrictions,Call Polaris Bank customer care using the number on the back of your card,Log into your Polaris Bank app directly to check for any restrictions,'polarisbank-alert.com' and 'polarisbank-secure-ng.com' are NOT Polaris Bank's official domains. Polaris Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Polaris Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Polaris Bank app is always the correct first check.,Fear + False Legitimacy
149,Banking & Finance,Sentinel,Government Employee,Phishing,3,"You receive an email from 'security@gtbank-alert.com' addressed to Government Employees: 'Your GTBank account has been restricted after a ₦350,000 transfer attempt to an account in Enugu was flagged. Verify identity at gtbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your GTBank app directly to check for any restrictions,Call GTBank customer care using the number on the back of your card,Log into your GTBank app directly to check for any restrictions,'gtbank-alert.com' and 'gtbank-secure-ng.com' are NOT GTBank's official domains. GTBank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs GTBank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your GTBank app is always the correct first check.,Fear + False Legitimacy
150,Banking & Finance,Sentinel,Government Employee,Phishing,3,"You receive an email from 'security@accessbank-alert.com' addressed to Government Employees: 'Your Access Bank account has been restricted after a ₦750,000 transfer attempt to an account in Benin City was flagged. Verify identity at accessbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Access Bank app directly to check for any restrictions,Call Access Bank customer care using the number on the back of your card,Log into your Access Bank app directly to check for any restrictions,'accessbank-alert.com' and 'accessbank-secure-ng.com' are NOT Access Bank's official domains. Access Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Access Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Access Bank app is always the correct first check.,Fear + False Legitimacy
151,Banking & Finance,Sentinel,Government Employee,Phishing,3,"You receive an email from 'security@firstbank-alert.com' addressed to Government Employees: 'Your First Bank account has been restricted after a ₦120,000 transfer attempt to an account in Onitsha was flagged. Verify identity at firstbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your First Bank app directly to check for any restrictions,Call First Bank customer care using the number on the back of your card,Log into your First Bank app directly to check for any restrictions,'firstbank-alert.com' and 'firstbank-secure-ng.com' are NOT First Bank's official domains. First Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs First Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your First Bank app is always the correct first check.,Fear + False Legitimacy
152,Banking & Finance,Sentinel,Government Employee,Phishing,3,"You receive an email from 'security@uba-alert.com' addressed to Government Employees: 'Your UBA account has been restricted after a ₦200,000 transfer attempt to an account in Lagos was flagged. Verify identity at uba-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your UBA app directly to check for any restrictions,Call UBA customer care using the number on the back of your card,Log into your UBA app directly to check for any restrictions,'uba-alert.com' and 'uba-secure-ng.com' are NOT UBA's official domains. UBA's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs UBA using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your UBA app is always the correct first check.,Fear + False Legitimacy
153,Banking & Finance,Sentinel,Government Employee,Phishing,3,"You receive an email from 'security@zenithbank-alert.com' addressed to Government Employees: 'Your Zenith Bank account has been restricted after a ₦500,000 transfer attempt to an account in Kano was flagged. Verify identity at zenithbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Zenith Bank app directly to check for any restrictions,Call Zenith Bank customer care using the number on the back of your card,Log into your Zenith Bank app directly to check for any restrictions,'zenithbank-alert.com' and 'zenithbank-secure-ng.com' are NOT Zenith Bank's official domains. Zenith Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Zenith Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Zenith Bank app is always the correct first check.,Fear + False Legitimacy
154,Banking & Finance,Sentinel,Government Employee,Phishing,3,"You receive an email from 'security@stanbicibtc-alert.com' addressed to Government Employees: 'Your Stanbic IBTC account has been restricted after a ₦1,200,000 transfer attempt to an account in Enugu was flagged. Verify identity at stanbicibtc-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Stanbic IBTC app directly to check for any restrictions,Call Stanbic IBTC customer care using the number on the back of your card,Log into your Stanbic IBTC app directly to check for any restrictions,'stanbicibtc-alert.com' and 'stanbicibtc-secure-ng.com' are NOT Stanbic IBTC's official domains. Stanbic IBTC's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Stanbic IBTC using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Stanbic IBTC app is always the correct first check.,Fear + False Legitimacy
155,Banking & Finance,Sentinel,Government Employee,Phishing,3,"You receive an email from 'security@fcmb-alert.com' addressed to Government Employees: 'Your FCMB account has been restricted after a ₦200,000 transfer attempt to an account in Warri was flagged. Verify identity at fcmb-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your FCMB app directly to check for any restrictions,Call FCMB customer care using the number on the back of your card,Log into your FCMB app directly to check for any restrictions,'fcmb-alert.com' and 'fcmb-secure-ng.com' are NOT FCMB's official domains. FCMB's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs FCMB using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your FCMB app is always the correct first check.,Fear + False Legitimacy
156,Banking & Finance,Sentinel,Government Employee,Phishing,3,"You receive an email from 'security@polarisbank-alert.com' addressed to Government Employees: 'Your Polaris Bank account has been restricted after a ₦200,000 transfer attempt to an account in Abeokuta was flagged. Verify identity at polarisbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Polaris Bank app directly to check for any restrictions,Call Polaris Bank customer care using the number on the back of your card,Log into your Polaris Bank app directly to check for any restrictions,'polarisbank-alert.com' and 'polarisbank-secure-ng.com' are NOT Polaris Bank's official domains. Polaris Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Polaris Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Polaris Bank app is always the correct first check.,Fear + False Legitimacy
157,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'security@gtbank-alert.com' addressed to General Publics: 'Your GTBank account has been restricted after a ₦45,000 transfer attempt to an account in Onitsha was flagged. Verify identity at gtbank-secure-ng.com within 24 hours to restore access.'",Click the verification link immediately to restore your account,Log into your GTBank app directly to check for any restrictions,Call GTBank customer care using the number on the back of your card,Log into your GTBank app directly to check for any restrictions,'gtbank-alert.com' and 'gtbank-secure-ng.com' are NOT GTBank's official domains. GTBank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs GTBank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your GTBank app is always the correct first check.,Fear + False Legitimacy
158,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'security@accessbank-alert.com' addressed to General Publics: 'Your Access Bank account has been restricted after a ₦200,000 transfer attempt to an account in Kano was flagged. Verify identity at accessbank-secure-ng.com within 24 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Access Bank app directly to check for any restrictions,Call Access Bank customer care using the number on the back of your card,Log into your Access Bank app directly to check for any restrictions,'accessbank-alert.com' and 'accessbank-secure-ng.com' are NOT Access Bank's official domains. Access Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Access Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Access Bank app is always the correct first check.,Fear + False Legitimacy
159,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'security@firstbank-alert.com' addressed to General Publics: 'Your First Bank account has been restricted after a ₦350,000 transfer attempt to an account in Kano was flagged. Verify identity at firstbank-secure-ng.com within 24 hours to restore access.'",Click the verification link immediately to restore your account,Log into your First Bank app directly to check for any restrictions,Call First Bank customer care using the number on the back of your card,Log into your First Bank app directly to check for any restrictions,'firstbank-alert.com' and 'firstbank-secure-ng.com' are NOT First Bank's official domains. First Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs First Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your First Bank app is always the correct first check.,Fear + False Legitimacy
160,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'security@uba-alert.com' addressed to General Publics: 'Your UBA account has been restricted after a ₦500,000 transfer attempt to an account in Ibadan was flagged. Verify identity at uba-secure-ng.com within 24 hours to restore access.'",Click the verification link immediately to restore your account,Log into your UBA app directly to check for any restrictions,Call UBA customer care using the number on the back of your card,Log into your UBA app directly to check for any restrictions,'uba-alert.com' and 'uba-secure-ng.com' are NOT UBA's official domains. UBA's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs UBA using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your UBA app is always the correct first check.,Fear + False Legitimacy
161,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'security@zenithbank-alert.com' addressed to General Publics: 'Your Zenith Bank account has been restricted after a ₦120,000 transfer attempt to an account in Benin City was flagged. Verify identity at zenithbank-secure-ng.com within 24 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Zenith Bank app directly to check for any restrictions,Call Zenith Bank customer care using the number on the back of your card,Log into your Zenith Bank app directly to check for any restrictions,'zenithbank-alert.com' and 'zenithbank-secure-ng.com' are NOT Zenith Bank's official domains. Zenith Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Zenith Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Zenith Bank app is always the correct first check.,Fear + False Legitimacy
162,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'security@stanbicibtc-alert.com' addressed to General Publics: 'Your Stanbic IBTC account has been restricted after a ₦25,000 transfer attempt to an account in Ibadan was flagged. Verify identity at stanbicibtc-secure-ng.com within 24 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Stanbic IBTC app directly to check for any restrictions,Call Stanbic IBTC customer care using the number on the back of your card,Log into your Stanbic IBTC app directly to check for any restrictions,'stanbicibtc-alert.com' and 'stanbicibtc-secure-ng.com' are NOT Stanbic IBTC's official domains. Stanbic IBTC's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Stanbic IBTC using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Stanbic IBTC app is always the correct first check.,Fear + False Legitimacy
163,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'security@fcmb-alert.com' addressed to General Publics: 'Your FCMB account has been restricted after a ₦45,000 transfer attempt to an account in Abuja was flagged. Verify identity at fcmb-secure-ng.com within 24 hours to restore access.'",Click the verification link immediately to restore your account,Log into your FCMB app directly to check for any restrictions,Call FCMB customer care using the number on the back of your card,Log into your FCMB app directly to check for any restrictions,'fcmb-alert.com' and 'fcmb-secure-ng.com' are NOT FCMB's official domains. FCMB's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs FCMB using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your FCMB app is always the correct first check.,Fear + False Legitimacy
164,Banking & Finance,Novice,General Public,Phishing,1,"You receive an email from 'security@polarisbank-alert.com' addressed to General Publics: 'Your Polaris Bank account has been restricted after a ₦500,000 transfer attempt to an account in Abeokuta was flagged. Verify identity at polarisbank-secure-ng.com within 24 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Polaris Bank app directly to check for any restrictions,Call Polaris Bank customer care using the number on the back of your card,Log into your Polaris Bank app directly to check for any restrictions,'polarisbank-alert.com' and 'polarisbank-secure-ng.com' are NOT Polaris Bank's official domains. Polaris Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Polaris Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Polaris Bank app is always the correct first check.,Fear + False Legitimacy
165,Banking & Finance,Defender,General Public,Phishing,2,"You receive an email from 'security@gtbank-alert.com' addressed to General Publics: 'Your GTBank account has been restricted after a ₦500,000 transfer attempt to an account in Benin City was flagged. Verify identity at gtbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your GTBank app directly to check for any restrictions,Call GTBank customer care using the number on the back of your card,Log into your GTBank app directly to check for any restrictions,'gtbank-alert.com' and 'gtbank-secure-ng.com' are NOT GTBank's official domains. GTBank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs GTBank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your GTBank app is always the correct first check.,Fear + False Legitimacy
166,Banking & Finance,Defender,General Public,Phishing,2,"You receive an email from 'security@accessbank-alert.com' addressed to General Publics: 'Your Access Bank account has been restricted after a ₦1,200,000 transfer attempt to an account in Ibadan was flagged. Verify identity at accessbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Access Bank app directly to check for any restrictions,Call Access Bank customer care using the number on the back of your card,Log into your Access Bank app directly to check for any restrictions,'accessbank-alert.com' and 'accessbank-secure-ng.com' are NOT Access Bank's official domains. Access Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Access Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Access Bank app is always the correct first check.,Fear + False Legitimacy
167,Banking & Finance,Defender,General Public,Phishing,2,"You receive an email from 'security@firstbank-alert.com' addressed to General Publics: 'Your First Bank account has been restricted after a ₦500,000 transfer attempt to an account in Owerri was flagged. Verify identity at firstbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your First Bank app directly to check for any restrictions,Call First Bank customer care using the number on the back of your card,Log into your First Bank app directly to check for any restrictions,'firstbank-alert.com' and 'firstbank-secure-ng.com' are NOT First Bank's official domains. First Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs First Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your First Bank app is always the correct first check.,Fear + False Legitimacy
168,Banking & Finance,Defender,General Public,Phishing,2,"You receive an email from 'security@uba-alert.com' addressed to General Publics: 'Your UBA account has been restricted after a ₦120,000 transfer attempt to an account in Ibadan was flagged. Verify identity at uba-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your UBA app directly to check for any restrictions,Call UBA customer care using the number on the back of your card,Log into your UBA app directly to check for any restrictions,'uba-alert.com' and 'uba-secure-ng.com' are NOT UBA's official domains. UBA's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs UBA using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your UBA app is always the correct first check.,Fear + False Legitimacy
169,Banking & Finance,Defender,General Public,Phishing,2,"You receive an email from 'security@zenithbank-alert.com' addressed to General Publics: 'Your Zenith Bank account has been restricted after a ₦500,000 transfer attempt to an account in Onitsha was flagged. Verify identity at zenithbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Zenith Bank app directly to check for any restrictions,Call Zenith Bank customer care using the number on the back of your card,Log into your Zenith Bank app directly to check for any restrictions,'zenithbank-alert.com' and 'zenithbank-secure-ng.com' are NOT Zenith Bank's official domains. Zenith Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Zenith Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Zenith Bank app is always the correct first check.,Fear + False Legitimacy
170,Banking & Finance,Defender,General Public,Phishing,2,"You receive an email from 'security@stanbicibtc-alert.com' addressed to General Publics: 'Your Stanbic IBTC account has been restricted after a ₦85,000 transfer attempt to an account in Ibadan was flagged. Verify identity at stanbicibtc-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Stanbic IBTC app directly to check for any restrictions,Call Stanbic IBTC customer care using the number on the back of your card,Log into your Stanbic IBTC app directly to check for any restrictions,'stanbicibtc-alert.com' and 'stanbicibtc-secure-ng.com' are NOT Stanbic IBTC's official domains. Stanbic IBTC's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Stanbic IBTC using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Stanbic IBTC app is always the correct first check.,Fear + False Legitimacy
171,Banking & Finance,Defender,General Public,Phishing,2,"You receive an email from 'security@fcmb-alert.com' addressed to General Publics: 'Your FCMB account has been restricted after a ₦200,000 transfer attempt to an account in Benin City was flagged. Verify identity at fcmb-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your FCMB app directly to check for any restrictions,Call FCMB customer care using the number on the back of your card,Log into your FCMB app directly to check for any restrictions,'fcmb-alert.com' and 'fcmb-secure-ng.com' are NOT FCMB's official domains. FCMB's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs FCMB using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your FCMB app is always the correct first check.,Fear + False Legitimacy
172,Banking & Finance,Defender,General Public,Phishing,2,"You receive an email from 'security@polarisbank-alert.com' addressed to General Publics: 'Your Polaris Bank account has been restricted after a ₦200,000 transfer attempt to an account in Kaduna was flagged. Verify identity at polarisbank-secure-ng.com within 36 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Polaris Bank app directly to check for any restrictions,Call Polaris Bank customer care using the number on the back of your card,Log into your Polaris Bank app directly to check for any restrictions,'polarisbank-alert.com' and 'polarisbank-secure-ng.com' are NOT Polaris Bank's official domains. Polaris Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Polaris Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Polaris Bank app is always the correct first check.,Fear + False Legitimacy
173,Banking & Finance,Sentinel,General Public,Phishing,3,"You receive an email from 'security@gtbank-alert.com' addressed to General Publics: 'Your GTBank account has been restricted after a ₦1,200,000 transfer attempt to an account in Abuja was flagged. Verify identity at gtbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your GTBank app directly to check for any restrictions,Call GTBank customer care using the number on the back of your card,Log into your GTBank app directly to check for any restrictions,'gtbank-alert.com' and 'gtbank-secure-ng.com' are NOT GTBank's official domains. GTBank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs GTBank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your GTBank app is always the correct first check.,Fear + False Legitimacy
174,Banking & Finance,Sentinel,General Public,Phishing,3,"You receive an email from 'security@accessbank-alert.com' addressed to General Publics: 'Your Access Bank account has been restricted after a ₦200,000 transfer attempt to an account in Ibadan was flagged. Verify identity at accessbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Access Bank app directly to check for any restrictions,Call Access Bank customer care using the number on the back of your card,Log into your Access Bank app directly to check for any restrictions,'accessbank-alert.com' and 'accessbank-secure-ng.com' are NOT Access Bank's official domains. Access Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Access Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Access Bank app is always the correct first check.,Fear + False Legitimacy
175,Banking & Finance,Sentinel,General Public,Phishing,3,"You receive an email from 'security@firstbank-alert.com' addressed to General Publics: 'Your First Bank account has been restricted after a ₦750,000 transfer attempt to an account in Abeokuta was flagged. Verify identity at firstbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your First Bank app directly to check for any restrictions,Call First Bank customer care using the number on the back of your card,Log into your First Bank app directly to check for any restrictions,'firstbank-alert.com' and 'firstbank-secure-ng.com' are NOT First Bank's official domains. First Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs First Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your First Bank app is always the correct first check.,Fear + False Legitimacy
176,Banking & Finance,Sentinel,General Public,Phishing,3,"You receive an email from 'security@uba-alert.com' addressed to General Publics: 'Your UBA account has been restricted after a ₦85,000 transfer attempt to an account in Abuja was flagged. Verify identity at uba-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your UBA app directly to check for any restrictions,Call UBA customer care using the number on the back of your card,Log into your UBA app directly to check for any restrictions,'uba-alert.com' and 'uba-secure-ng.com' are NOT UBA's official domains. UBA's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs UBA using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your UBA app is always the correct first check.,Fear + False Legitimacy
177,Banking & Finance,Sentinel,General Public,Phishing,3,"You receive an email from 'security@zenithbank-alert.com' addressed to General Publics: 'Your Zenith Bank account has been restricted after a ₦500,000 transfer attempt to an account in Abeokuta was flagged. Verify identity at zenithbank-secure-ng.com within 48 hours to restore access.'",Click the verification link immediately to restore your account,Log into your Zenith Bank app directly to check for any restrictions,Call Zenith Bank customer care using the number on the back of your card,Log into your Zenith Bank app directly to check for any restrictions,'zenithbank-alert.com' and 'zenithbank-secure-ng.com' are NOT Zenith Bank's official domains. Zenith Bank's real domain ends in its registered web address. Always go to your banking app first.,This phishing attack spoofs Zenith Bank using two lookalike domains — one for the sender and one for the verification page. The account restriction threat creates Fear. The city name adds False Legitimacy by suggesting insider knowledge. Your Zenith Bank app is always the correct first check.,Fear + False Legitimacy
